name,title,license,formats,num_resources,metadata_modified,url
geoportal-ustanove-za-beskucnike,Geoportal Ustanove za beskućnike,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-10-29T07:15:42.592939,https://data.zagreb.hr/dataset/geoportal-ustanove-za-beskucnike
geoportal-ustanove-za-branitelje,Geoportal Ustanove za branitelje,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-10-29T07:26:51.186420,https://data.zagreb.hr/dataset/geoportal-ustanove-za-branitelje
geoportal-ustanove-za-osobe-s-invaliditetom,Geoportal Ustanove za osobe s invaliditetom,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2025-02-12T15:12:29.730722,https://data.zagreb.hr/dataset/geoportal-ustanove-za-osobe-s-invaliditetom
geoportal-vatrogasci,Geoportal vatrogasci,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T13:46:09.213817,https://data.zagreb.hr/dataset/geoportal-vatrogasci
geoportal-visokoskolske-ustanove,Geoportal Visokoškolske ustanove,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:01:41.067975,https://data.zagreb.hr/dataset/geoportal-visokoskolske-ustanove
geoportal-vjerske-zajednice,Geoportal Vjerske zajednice,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:02:54.504074,https://data.zagreb.hr/dataset/geoportal-vjerske-zajednice
geoportal-zajednicka-lovista,Geoportal zajednička lovišta,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-28T09:25:59.544855,https://data.zagreb.hr/dataset/geoportal-zajednicka-lovista
geoportal-zdravstvene-ustanove,Geoportal Zdravstvene ustanove,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:38:39.802520,https://data.zagreb.hr/dataset/geoportal-zdravstvene-ustanove
geoportal-zeljeznicka-stajalista-hz,Geoportal željeznička stajališta HŽ,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T13:58:07.561354,https://data.zagreb.hr/dataset/geoportal-zeljeznicka-stajalista-hz
geoportal-zone-rezerviranih-parkiralisnih-mjesta,Geoportal zone rezerviranih parkirališnih mjesta,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:40:07.609775,https://data.zagreb.hr/dataset/geoportal-zone-rezerviranih-parkiralisnih-mjesta
geoportal_javni_zdenci,Geoportal Javni zdenci,Otvorena dozvola (OD),GEOJSON,1,2026-09-05T11:05:10.706110,https://data.zagreb.hr/dataset/geoportal_javni_zdenci
geoportal_podzemni_spremnik,Geoportal Podzemni spremnik,Otvorena dozvola (OD),GEOJSON,1,2026-08-26T12:14:02.786483,https://data.zagreb.hr/dataset/geoportal_podzemni_spremnik
gerontoloski-centri-grada-zagreba,Gerontološki centri Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T09:15:26.062806,https://data.zagreb.hr/dataset/gerontoloski-centri-grada-zagreba
