dataset_naslov,dataset_name,format,resurs,url,zadnja_izmjena
Geoportal Područni uredi,geoportal-podrucni-uredi,GEOJSON,Geoportal područni uredi,https://opendata.arcgis.com/api/v3/datasets/ab488f0b14b54acaaa0b29d35c9af626_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-11
Geoportal Podzemni spremnik,geoportal_podzemni_spremnik,GEOJSON,Geoportal Podzemni spremnik,https://data.zagreb.hr/dataset/1c02bf11-26a8-40dd-9a7d-0635dc065325/resource/980478d5-97a8-4b7d-8e92-f404bd0d3a24/download/data.geojson,2026-08-26
Geoportal Polupodzemni spremnik,polupodzemni_spremnik,GEOJSON,Geoportal Polupodzemni spremnik,https://data.zagreb.hr/dataset/a48f972b-9639-4719-9470-9d398049dbf9/resource/c04a1f0c-ac8a-4156-ba1f-707b1564d2f8/download/data.geojson,2026-08-26
Geoportal Reciklažna dvorišta grada Zagreba,reciklazna-dvorista-grada-zagreba1,CSV,Reciklažna dvorišta grada Zagreba,https://opendata.arcgis.com/api/v3/datasets/249fa384ccf9481abf4fd2de73a822f5_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-01
Geoportal Reciklažna dvorišta grada Zagreba,reciklazna-dvorista-grada-zagreba1,GEOJSON,Reciklažna dvorišta grada Zagreba,https://opendata.arcgis.com/api/v3/datasets/249fa384ccf9481abf4fd2de73a822f5_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-01
Geoportal Sjedišta gradskih četvrti,geoportal-sjedista-gradskih-cetvrti,CSV,Geoportal Sjedišta gradskih četvrti,https://opendata.arcgis.com/api/v3/datasets/3cabb747881e44b39b561626dcd8b89a_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2023-01-17
Geoportal Sjedišta gradskih četvrti,geoportal-sjedista-gradskih-cetvrti,GEOJSON,Geoportal Sjedišta gradskih četvrti,https://opendata.arcgis.com/api/v3/datasets/3cabb747881e44b39b561626dcd8b89a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-17
Geoportal Smještajni objekti,geoportal-smjestajni-objekti,CSV,Geoportal Smještajni objekti,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_smjestajni_kapaciteti/FeatureServer/replicafilescache/Geoportal_smjestajni_kapaciteti_8451579349326890561.csv,2024-09-17
Geoportal Smještajni objekti,geoportal-smjestajni-objekti,GEOJSON,Geoportal Smještajni objekti,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_smjestajni_kapaciteti/FeatureServer/replicafilescache/Geoportal_smjestajni_kapaciteti_-4736954192839407912.geojson,2024-09-17
Geoportal Sportski objekti,geoportal-sportski-objekti,CSV,Geoportal Sportski objekti,https://opendata.arcgis.com/api/v3/datasets/c2dd015f24f84bdb9e367b7eafce6762_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-01
